Name,Date,Due Date,Participants,Tags,Type,관련 링크,상태,작성 일자
20221114,,,,todos,,,Done,2022년 11월 11일 오후 6:47
20221111,,,,todos,,,Done,2022년 11월 10일 오후 7:22
20221110,,,,todos,,,Done,2022년 11월 8일 오후 7:07
20221108,,,,todos,,,Done,2022년 11월 8일 오전 10:34
20221107,,,,todos,,,Done,2022년 11월 7일 오전 11:29
20221104,,,,todos,,,Done,2022년 11월 3일 오후 3:55
20221103,,,,todos,,,Done,2022년 11월 2일 오후 7:23
20221102,,,,todos,,,Done,2022년 11월 2일 오전 10:34
20221101,,,,todos,,,Done,2022년 10월 31일 오후 5:02
20221031,,,,todos,,,Done,2022년 10월 28일 오후 7:26
20221028,,,,todos,,,Done,2022년 10월 27일 오후 5:17
20221027,,,,todos,,,Done,2022년 10월 26일 오후 12:01
20221026,,,,todos,,,Done,2022년 10월 25일 오후 3:30
20221025,,,,todos,,,Done,2022년 10월 24일 오후 7:25
20221024,,,,todos,,,Done,2022년 10월 21일 오후 4:18
20221021,,,,todos,,,Done,2022년 10월 20일 오후 7:07
20221020,,,,todos,,,Done,2022년 10월 19일 오후 3:34
20221019,,,,todos,,,Done,2022년 10월 18일 오후 6:52
20221018,,,,todos,,,Done,2022년 10월 17일 오후 6:15
20221017,,,,todos,,,Done,2022년 10월 14일 오후 7:04
20221014,,,,todos,,,Done,2022년 10월 13일 오후 6:36
20221013,,,,todos,,,Done,2022년 10월 12일 오후 1:50
20221012,,,,todos,,,Done,2022년 10월 11일 오후 4:59
"20221011 ",,,,todos,,,Done,2022년 10월 7일 오후 7:49
20221007,,,,todos,,,Done,2022년 10월 6일 오후 4:34
20221006,,,,todos,,,Done,2022년 10월 5일 오후 6:50
20221005,,,,todos,,,Done,2022년 10월 4일 오후 7:07
20221004,,,,todos,,,Done,2022년 10월 4일 오전 11:57
20220930,,,,todos,,,Done,2022년 9월 30일 오후 12:36
20220929,,,,todos,,,Done,2022년 9월 29일 오전 11:31
20220928,,,,todos,,,Done,2022년 9월 28일 오전 10:47
20220927,,,,todos,,,Done,2022년 9월 26일 오후 7:01
20220926,,,,todos,,,Done,2022년 9월 26일 오후 2:56
delayed features,,,,,,,Done,2022년 10월 6일 오후 3:53
[MVP 이후]material design,,,,Suggestion,,,Not started,2022년 10월 25일 오후 5:36
스크린샷 하나 선택 이후 Add tag로 추천될 태그 순위,,,,Suggestion,,,Not started,2022년 10월 31일 오후 5:18
스크린샷 여러 개 선택 이후 Add tag로 추천될 태그 순위,,,,Suggestion,,,Not started,2022년 10월 31일 오후 5:19
유연한 검색에서 검색 결과 나열 순위,,,,Suggestion,,,Not started,2022년 10월 31일 오후 5:26
[MVP 이후]Image Detail 화면에서 위로 스와이프 하는 동작,,,,Suggestion,,,In progress,2022년 10월 31일 오후 5:43
절전 모드 시 다이얼로그,,,,Suggestion,,,Done,2022년 11월 1일 오후 3:34
[MVP 이후]detail view에서 하이라이트할까?,,,,Suggestion,,,In progress,2022년 11월 1일 오후 6:48
add tag 키보드 올라올 때 스크롤 가능하게 할까?,,,,Suggestion,,,Done,2022년 11월 1일 오후 6:48
오프라인 실행 시 뷰,,,,Suggestion,,,Done,2022년 11월 1일 오후 6:50
Select시 최소한의 변화는 필요하다,,,,Suggestion,,,Done,2022년 11월 3일 오후 3:41
온오프라인 및 자동 태깅 여부 구분,,,,Suggestion,,,Done,2022년 11월 3일 오후 4:00
————————,,,,Suggestion,,,Not started,2022년 11월 3일 오후 4:07
[MVP 이후]quick action UI,,,,Suggestion,,,Not started,2022년 11월 4일 오후 2:42
린스타트업 이해와 Case Study,,,,PM,,https://cafe.naver.com/dbrinsight/1309,In progress,2022년 11월 7일 오후 1:28
[MVP 이후]Todo List,,,,Suggestion,,,Not started,2022년 11월 7일 오후 7:18
Search page에서,,,,Suggestion,,,Done,2022년 11월 8일 오전 10:38
Material design - styles,,,,UX design,,https://m3.material.io/styles,In progress,2022년 11월 10일 오후 5:00
"스타트업 성공 빌딩의 시작, MVT",,,,PM,,https://yozm.wishket.com/magazine/detail/1092/,In progress,2022년 11월 11일 오후 1:24
뛰는 MVP 위에 나는 MLP(Minimum Lovable Product),,,,PM,,https://yozm.wishket.com/magazine/detail/593/,In progress,2022년 11월 15일 오전 11:30
Language/Market Fit으로 초기 제품 검증 성공시키기,,,,PM,,https://yozm.wishket.com/magazine/detail/1710/,In progress,2022년 11월 18일 오후 6:49
당장 활용하는 AB 테스트 사례,,,,PM,,https://dewberry9.github.io/12-ab-test-cases#bookingcom,In progress,2022년 11월 22일 오후 12:05
개발자에게 물어봤습니다: 함께 일하고 싶은 기획자,,,,PM,,https://yozm.wishket.com/magazine/detail/1724/,In progress,2022년 11월 23일 오전 11:40
초기 스타트업의 첫 QA 프로세스 구축기,,,,PM,,https://yozm.wishket.com/magazine/detail/920/,In progress,2022년 11월 24일 오후 12:20
소규모팀에 적합한 QA 프로세스 구축,,,,PM,,https://www.theteams.kr/teams/866/post/64573,In progress,2022년 11월 28일 오후 3:10
데이터로 마케팅하기 어려운 당신에게,,,,PM,,,Not started,2022년 11월 29일 오후 3:51
PSF방법론 - 2) 올바른 비즈니스 가설 수립,,,,PM,,https://acquiredentrepreneur.tistory.com/61,In progress,2022년 11월 30일 오후 3:45
실험 조직으로 거듭나기: ② 검증할 ‘만’한 가설과 검증 방법들,,,,PM,,https://yozm.wishket.com/magazine/detail/1113/,In progress,2022년 12월 1일 오후 5:12
pmf를 빠르게 검증할 수 있는 방법들,,,,PM,,,In progress,2022년 12월 2일 오후 12:28
PMF의 증거: Retention Plateau,,,,PM,,https://playinpap.github.io/retention-plateau/#retention-plateau의-중심에서-pmf를-외치다,In progress,2022년 12월 2일 오후 2:42
PMF의 3가지 증거,,,,PM,,https://www.canda.blog/pmf-lenny/,In progress,2022년 12월 2일 오후 3:55
PSF방법론 - 4) 초기 창업자의 주요 가설 검증 방법,,,,PM,,https://acquiredentrepreneur.tistory.com/63,In progress,2022년 12월 2일 오후 7:05
13 Types of Minimum Viable Product,,,,PM,,https://www.youtube.com/watch?v=r4HmIzCmMF8,In progress,2022년 12월 5일 오후 4:43
PMF의 증거들,,,,PM,,,In progress,2022년 12월 9일 오전 11:58
test,,,,,,,Done,2022년 12월 13일 오후 12:20
닉네임 추가로 인한 변화,,,,Suggestion,,,In progress,2022년 12월 14일 오후 2:35
20221216 QA,,,,error-ly,,,Done,2022년 12월 16일 오후 5:22
20221216 QA,,,,error-ly,,,Not started,2022년 12월 19일 오후 2:13
20221219 QA,,,,error-ly,,,Not started,2022년 12월 19일 오후 2:42
